Date,Open,High,Low,Close,Volume
2017/1/17,180.5,181,179.5,181,13159000
2017/1/18,180.5,181,179.5,181,23693000
2017/1/19,179.5,181,179.5,180.5,24627000
2017/1/20,181,181.5,180.5,181,23429000
2017/1/23,182.5,185,182.5,185,36992000
2017/1/24,185,186.5,184.5,185.5,55022000
2017/2/2,188,188.5,184,184.5,94089000
2017/2/3,186,186,183.5,184.5,29518000
2017/2/6,184.5,185.5,184,184.5,24779000
2017/2/7,183.5,185,183,184.5,23616000
2017/2/8,183.5,184.5,183,183.5,29168000
2017/2/9,184,185.5,183.5,184,18967000
2017/2/10,184.5,185.5,184,185.5,34747000
2017/2/13,186.5,188,186.5,187.5,25124000
2017/2/14,189,190,187.5,187.5,45696000
2017/2/15,187,189.5,186.5,189,39347000
2017/2/16,190,190.5,188,189,27018000
2017/2/17,190,190.5,189,189.5,20389000
2017/2/18,null,null,null,null,null
2017/2/20,190,190.5,189.5,190,13254000
2017/2/21,190,190,188.5,190,31159000
2017/2/22,190.5,191,188.5,188.5,25677000
2017/2/23,188,189.5,187,188.5,35725000
2017/2/24,187.5,190.5,187.5,189,22766000
2017/3/1,188.5,188.5,186,186,46186000
2017/3/2,188,188.5,185,186,39980000
2017/3/3,184.5,185,184,184,28197000
2017/3/6,184,184.5,183.5,183.5,12531000
2017/3/7,184,185.5,184,185.5,18812000
2017/3/8,186,188,185.5,187,31791000
2017/3/9,185.5,186,184,184.5,28489000
2017/3/10,184,184.5,183,183.5,20053000
2017/3/13,185,186.5,185,186.5,10487000
2017/3/14,188,188,186,186,22245000
2017/3/15,185.5,187,185.5,186.5,14131000
2017/3/16,188,190,188,190,31507000
2017/3/17,189.5,191.5,189,191.5,33764000
2017/3/20,191.5,191.5,189.5,191.5,16215000
2017/3/21,192,195,191.5,195,32246000
2017/3/22,192.5,193.5,191.5,193.5,27396000
2017/3/23,192,193.5,192,193.5,18472000
2017/3/24,192,193,192,192.5,17541000
2017/3/27,194.5,194.5,192,193,29251000
2017/3/28,195,195,192.5,194.5,38259000
2017/3/29,194.5,194.5,191,191.5,33374000
2017/3/30,192.5,193,190.5,191.5,28302000
2017/3/31,191,192,189,189,33635000
2017/4/5,189.5,193,189.5,193,43748000
2017/4/6,193,193,191,191.5,16173000
2017/4/7,192,192,188.5,191,18911000
2017/4/10,191,191.5,189.5,190,17024000
2017/4/11,190,191,189,191,8441000
2017/4/12,190.5,191.5,190,191,17283000
2017/4/13,189.5,192,189.5,191.5,14771000
2017/4/14,189.5,189.5,188,189,30701000
2017/4/17,189,189,187.5,187.5,17096000
2017/4/18,188,189.5,187.5,188,25063000
2017/4/19,187.5,187.5,186.5,186.5,30477000
2017/4/20,186.5,188,186.5,187,21488000
2017/4/21,187.5,190,187.5,190,17373000
2017/4/24,191,191.5,188.5,190,19317000
2017/4/25,190.5,192,189.5,192,31932000
2017/4/26,192,192,190.5,191,29909000
2017/4/27,192,193,190.5,193,27940000
2017/4/28,193.5,194.5,193,194.5,34852000
2017/5/2,198.5,199,195.5,196.5,44119000
2017/5/3,198,198.5,197,198,25723000
2017/5/4,198.5,199,197,198,22088000
2017/5/5,197,198.5,197,197.5,17036000
2017/5/8,199,202.5,199,202.5,36538000
2017/5/9,205.5,207,203.5,203.5,48077000
2017/5/10,204,206,204,205.5,28312000
2017/5/11,204.5,208.5,204,207.5,43718000
2017/5/12,205,207,205,206,25009000
2017/5/15,204,206,204,206,25666000
2017/5/16,205,205,203.5,204.5,33224000
2017/5/17,203,204,203,204,21567000
2017/5/18,202.5,204,201.5,203.5,22461000
2017/5/19,203.5,204.5,202.5,203,16492000
2017/5/22,203.5,205,203,205,13726000
2017/5/23,205,207,204.5,205,19991000
2017/5/24,205,206,205,205.5,13380000
2017/5/25,206,207,205.5,207,22328000
2017/5/26,205,207,205,207,32514000
2017/5/31,206.5,207,203,203,67475000
2017/6/1,205,207,204.5,207,27589000
2017/6/2,208.5,209,207.5,209,22573000
2017/6/3,null,null,null,null,null
2017/6/5,209.5,212,209,212,21457000
2017/6/6,210.5,211.5,210.5,210.5,14912000
2017/6/7,212,212.5,210,211.5,29514000
2017/6/8,212,213,211.5,213,18437000
2017/6/9,214.5,215,212,212,31774000
2017/6/12,207,210,207,207.5,58256000
2017/6/13,207,208.5,206.5,208,43566000
2017/6/14,208.5,209.5,206,207,36293000
2017/6/15,207.5,208,207,208,17748000
2017/6/16,207.5,212,207,211.5,32816000
2017/6/19,211,213,210.5,213,15632000
2017/6/20,215,218,214.5,216.5,28630000
2017/6/21,216,217,214.5,215.5,44789000
2017/6/22,217,218,216.5,218,24139000
2017/6/23,218,218.5,217,217,39621000
2017/6/26,212,215,212,215,58686000
2017/6/27,214,214,211,211.5,43269000
2017/6/28,209.5,210,208,208.5,48568000
2017/6/29,210.5,210.5,208.5,210,26019000
2017/6/30,206.5,208.5,206.5,208.5,30867000
